STATION,LATITUDE,LONGITUDE,ZIP_Code
larrabeest&kingsburyst,41.897764,-87.642884,60610
orleansst&merchandisemartplaza,41.888243,-87.63639,60654
63rdstbeach,41.781016,-87.57612,60649
stonyislandave&67thst,41.773458,-87.58534,60619
clintonst&polkst,41.871467,-87.640949,60607
statest&pearsonst,41.897448,-87.628722,60611
desplainesst&jacksonblvd,41.878287,-87.643909,60661
halstedst&polkst,41.87184,-87.64664,60607
900wharrisonst,41.874754,-87.649807,60607
jefferyblvd&71stst,41.766638,-87.57645,60619
dearbornst&eriest,41.893992,-87.629318,60654
sedgwickst&huronst,41.894666,-87.638437,60610
sheffieldave&wavelandave,41.949399,-87.654529,60613
sheffieldave&wellingtonave,41.936266,-87.652662,60657
westernave&winnebagoave,41.91552,-87.687022,60647
wiltonave&belmontave,41.94018,-87.65304,60657
sedgwickst&northave,41.911386,-87.638677,60614
ashlandave&lakest,41.88592,-87.66717,60612
wentworthave&cermakrd(temp),41.853005,-87.630578,60616
blackstoneave&hydeparkblvd,41.802562,-87.590368,60615
southshoredr&71stst,41.766409,-87.565688,60649
greenst&randolphst,41.883668,-87.64867,60661
bissellst&armitageave,41.91844,-87.65222,60614
lincolnave&fullertonave,41.925905,-87.64926,60614
ogdenave&congresspkwy,41.87501,-87.67328,60612
californiaave&milwaukeeave,41.922695,-87.697153,60647
damenave&cullertonst,41.855048,-87.675726,60608
rushst&hubbardst,41.890173,-87.626185,60611
clarkst&northave,41.911974,-87.631942,60610
damenave&chicagoave,41.895769,-87.67722,60651
blueislandave&18thst,41.857556,-87.661535,60608
damenave&divisionst,41.903266,-87.678435,60622
lincolnave&belmontave,41.939365,-87.668385,60657
wiltonave&diverseypkwy,41.932418,-87.652705,60657
wentworthave&24thst(temp),41.850084,-87.632141,60616
kingsburyst&kinziest,41.889177,-87.638506,60654
peoriast&jacksonblvd,41.878691,-87.649532,60607
racineave&13thst,41.865054,-87.656959,60608
morganave&14thpl,41.862378,-87.651062,60608
halstedst&21stst,41.85378,-87.64665,60616
clybournave&divisionst,41.904613,-87.640552,60610
dearbornpkwy&delawarepl,41.898969,-87.629912,60610
clarkst&lincolnave,41.915689,-87.6346,60610
sedgwickst&websterave,41.922167,-87.638888,60614
larrabeest&websterave,41.921822,-87.64414,60614
miesvanderroheway&chestnutst,41.898587,-87.621915,60611
loomisst&jacksonblvd,41.877945,-87.662007,60607
indianaave&26thst,41.845687,-87.622481,60616
statest&33rdst,41.834734,-87.625813,60616
morganst&18thst,41.858086,-87.651073,60608
mcclurgct&eriest,41.894503,-87.617854,60611
campbellave&northave,41.910535,-87.689556,60647
calumetave&33rdst,41.8349,-87.61793,60616
fortdearborndr&31stst,41.838556,-87.608218,60653
racineave&18thst,41.858166,-87.656495,60608
lincolnave&diverseypkwy,41.932225,-87.658617,60657
southportave&wellingtonave,41.935733,-87.663576,60657
southportave&belmontave,41.93949,-87.66378,60657
clarkst&wellingtonave,41.936497,-87.647539,60657
lakeshoredr&wellingtonave,41.936637,-87.636963,60657
milwaukeeave&wabansiaave,41.912616,-87.681391,60647
claremontave&hirschst,41.907781,-87.685854,60647
damenave&clybournave,41.931931,-87.677856,60614
rushst&superiorst,41.895765,-87.625908,60611
paulinaave&northave,41.910337,-87.670072,60622
damenave&wellingtonave,41.93588,-87.67842,60618
ashlandave&wrightwoodave,41.92883,-87.668507,60614
franklinst&lakest,41.885837,-87.6355,60606
clarkst&gracest,41.95078,-87.659172,60613
canalst&madisonst,41.882091,-87.639833,60606
damenave&coulterst,41.8492,-87.67564,60608
